profileID,respID,qID,altID,obsID,type,price,freshness,image
31,1,1,1,1,Fuji,4,Excellent,fuji.jpg
68,1,1,2,1,Honeycrisp,4,Average,honeycrisp.jpg
8,1,1,3,1,Honeycrisp,1.5,Excellent,honeycrisp.jpg
61,1,2,1,2,Fuji,3.5,Average,fuji.jpg
15,1,2,2,2,Red Delicious,2,Excellent,redDelicious.jpg
84,1,2,3,2,Pink Lady,2,Poor,pinkLady.jpg
14,1,3,1,3,Pink Lady,2,Excellent,pinkLady.jpg
68,1,3,2,3,Honeycrisp,4,Average,honeycrisp.jpg
104,1,3,3,3,Pink Lady,4,Poor,pinkLady.jpg
18,1,4,1,4,Honeycrisp,2.5,Excellent,honeycrisp.jpg
13,1,4,2,4,Honeycrisp,2,Excellent,honeycrisp.jpg
46,1,4,3,4,Fuji,2,Average,fuji.jpg
45,1,5,1,5,Red Delicious,1.5,Average,redDelicious.jpg
44,1,5,2,5,Pink Lady,1.5,Average,pinkLady.jpg
96,1,5,3,5,Fuji,3.5,Poor,fuji.jpg
94,1,6,1,6,Pink Lady,3,Poor,pinkLady.jpg
16,1,6,2,6,Fuji,2.5,Excellent,fuji.jpg
59,1,6,3,6,Pink Lady,3,Average,pinkLady.jpg
56,2,1,1,7,Fuji,3,Average,fuji.jpg
82,2,1,2,7,Gala,2,Poor,gala.jpg
14,2,1,3,7,Pink Lady,2,Excellent,pinkLady.jpg
54,2,2,1,8,Pink Lady,2.5,Average,pinkLady.jpg
62,2,2,2,8,Gala,3.5,Average,gala.jpg
66,2,2,3,8,Fuji,4,Average,fuji.jpg
4,2,3,1,9,Pink Lady,1,Excellent,pinkLady.jpg
71,2,3,2,9,Fuji,1,Poor,fuji.jpg
50,2,3,3,9,Red Delicious,2,Average,redDelicious.jpg
23,2,4,1,10,Honeycrisp,3,Excellent,honeycrisp.jpg
97,2,4,2,10,Gala,3.5,Poor,gala.jpg
100,2,4,3,10,Red Delicious,3.5,Poor,redDelicious.jpg
73,2,5,1,11,Honeycrisp,1,Poor,honeycrisp.jpg
62,2,5,2,11,Gala,3.5,Average,gala.jpg
